time,x1_original,x1_drifted,x1_amplitude_scaled,x1_lowfreq,x2_original,x2_drifted,x2_amplitude_scaled,x2_lowfreq,v1_original,v1_drifted,v1_amplitude_scaled,v1_lowfreq,v2_original,v2_drifted,v2_amplitude_scaled,v2_lowfreq,a1_original,a1_drifted,a1_amplitude_scaled,a1_lowfreq,a2_original,a2_drifted,a2_amplitude_scaled,a2_lowfreq
28.55,0.0022702469391044644,0.030820246939104467,0.0034053704086566966,-0.007993037846780678,0.0031086008018667783,0.03165860080186678,0.004662901202800168,-0.000764595760822659,-0.033310217848344106,-0.004760217848344104,-0.04996532677251616,0.02230724055102257,0.02884199721342448,0.05739199721342449,0.04326299582013672,-0.01843255852656426,-0.014318930763434351,0.014231069236565651,-0.021478396145151527,0.15221479932744925,-0.008383538627615428,0.020166461372384575,-0.012575307941423142,-0.07228442085958099
28.560000000000002,0.0019366675651295887,0.03049666756512959,0.002905001347694383,-0.007881227783249794,0.003396446240866399,0.0319564462408664,0.005094669361299598,-0.0008568599592203408,-0.03340565694663101,-0.0048456569466310065,-0.050108485419946516,0.023066219329300648,0.028727090586499627,0.057287090586499625,0.04309063587974944,-0.018792717932236604,-0.004768888893945042,0.02379111110605496,-0.007153333340917563,0.14905595607283592,-0.014597786757355319,0.013962213242644683,-0.021896680136032978,-0.0702436782402939
28.57,0.00160261117588969,0.03017261117588969,0.002403916763834535,-0.0077626750962712775,0.003682832146819729,0.03225283214681973,0.005524248220229594,-0.0009523036349656607,-0.033405620901348715,-0.004835620901348713,-0.05010843135202307,0.02379597103943124,0.028550090604166408,0.05712009060416641,0.04282513590624961,-0.019134029542248788,0.00477609795040447,0.03334609795040447,0.007164146925606706,0.14573046557580027,-0.02080220970928845,0.007767790290711552,-0.031203314563932674,-0.0681037146130555
28.580000000000002,0.0012690316381236287,0.02984903163812363,0.001903547457185443,-0.00764344728376593,0.003967138470910464,0.03254713847091047,0.0059507077063656955,-0.0010480602516493437,-0.03331028665186355,-0.0047302866518635495,-0.04996542997779532,0.02452248935880452,0.028311174213980564,0.056891174213980565,0.042466761320970846,-0.01947326456524824,0.014290751946628363,0.042870751946628365,0.021436127919942545,0.14238834315884785,-0.026981068327880386,0.0015989316721196148,-0.04047160249182058,-0.06595387032116504
28.59,0.0009368797874397787,0.02952687978743978,0.001405319681159668,-0.0075177677435152,0.004248747719359092,0.032838747719359095,0.006373121579038638,-0.001146807437722506,-0.03312008348490644,-0.004530083484906442,-0.049680125227359664,0.025218108303121198,0.028010675475745178,0.05660067547574518,0.04201601321361777,-0.019792655020807973,0.023749881444793015,0.05233988144479301,0.03562482216718953,0.1388872804931263,-0.033118679319196764,-0.0045286793191967635,-0.049678018978795146,-0.06370960305792478
28.6,0.0006071009108016159,0.029207100910801618,0.0009106513662024239,-0.0073914552633565014,0.004527046520731081,0.033127046520731084,0.006790569781096622,-0.0012458422100530507,-0.03283569184272612,-0.004235691842726118,-0.04925353776408918,0.025910379735754194,0.02764908479865276,0.05624908479865276,0.04147362719797914,-0.020109903403249325,0.03312844699127158,0.06172844699127158,0.04969267048690737,0.1353706831666681,-0.03919945609928699,-0.010599456099286989,-0.05879918414893048,-0.06145613053303074
28.61,0.0002806322442229201,0.02889063224422292,0.00042094836633438013,-0.00725899874509166,0.004801427183580287,0.03341142718358028,0.00720214077537043,-0.0013476686232673774,-0.032458041473013045,-0.0038480414730130454,-0.04868706220951957,0.02657015639425512,0.02722704777118841,0.055837047771188406,0.040840571656782614,-0.020406358375918927,0.042401626951342475,0.07101162695134247,0.06360244042701371,0.1317032886692155,-0.04520794939358308,-0.01659794939358308,-0.06781192409037462,-0.059113301218234764
28.62,-4.159950776944951e-05,0.028578400492230555,-6.239926165417428e-05,-0.007125952069196487,0.005071289240370295,0.0336912892403703,0.007606933860555443,-0.0014497569597790607,-0.031988308925460875,-0.0033683089254608715,-0.047982463388191315,0.02722648468705487,0.026745363586813363,0.05536536358681336,0.04011804538022004,-0.02070061390367873,0.05154488255909226,0.08016488255909227,0.07731732383863839,0.12802147178618456,-0.05112888748142613,-0.02250888748142613,-0.0766933312221392,-0.05676195109416276
28.63,-0.0003586806244044657,0.028271319375595533,-0.0005380209366066985,-0.006987085070585298,0.005336040973651879,0.03396604097365188,0.008004061460477819,-0.0015544284673606468,-0.03142791440154236,-0.002797914401542364,-0.04714187160231355,0.027848804097828264,0.026204983069503425,0.05483498306950342,0.03930747460425514,-0.02097317780446469,0.06053402222461071,0.08916402222461071,0.09080103333691607,0.12419741673815292,-0.05694721598056146,-0.02831721598056146,-0.08542082397084219,-0.054326566032240155
28.64,-0.0006697127862410233,0.02797028721375898,-0.001004569179361535,-0.006847671139058854,0.005595100920520709,0.03423510092052071,0.008392651380781064,-0.0016593360208831138,-0.030778517965769164,-0.002138517965769162,-0.046167776948653746,0.028467587556798957,0.02560700630426259,0.05424700630426259,0.03841050945639388,-0.021243493000814805,0.06934526493002947,0.09798526493002947,0.10401789739504422,0.12036006257240581,-0.06264813706760575,-0.03400813706760575,-0.09397220560140862,-0.05188335118175598
