time,x1_original,x1_envelope,x1_triangle,x1_square,x2_original,x2_envelope,x2_triangle,x2_square,v1_original,v1_envelope,v1_triangle,v1_square,v2_original,v2_envelope,v2_triangle,v2_square,a1_original,a1_envelope,a1_triangle,a1_square,a2_original,a2_envelope,a2_triangle,a2_square
8.28,-0.009938918111585805,-0.005677474504380453,0.0007039999999999857,-0.01,0.0099556196460308,0.005120504852258518,-0.00440000000000001,0.01,-0.0022880721324573527,-0.0005040656832613344,-0.013200000000000326,0.0,-0.0029560135568968415,-0.001037349604612381,0.020000000000000823,0.0,0.042723270480707246,0.024354581207762273,5.828670879282072e-14,0.0,-0.09822570613225896,-0.05000269387258555,-2.631228568361621e-14,0.0
8.290000000000001,-0.009959662439775054,-0.005681297310535554,0.0005719999999999735,-0.01,0.009921147013144775,0.0051076306507819086,-0.004199999999999976,0.01,-0.0018603476013223097,-0.00026077523912854117,-0.013199999999999192,0.0,-0.003936812003971113,-0.0015373814151828924,0.019999999999999712,0.0,0.04281244170983012,0.024298657795017182,-1.887379141862766e-15,0.0,-0.09788558679987458,-0.04998081378881297,-8.193445921733655e-14,0.0
8.3,-0.009976125063612253,-0.005682690009163025,0.00043999999999998397,-0.01,0.009876883405951374,0.0050897572239548584,-0.003999999999999989,0.01,-0.0014318232982606927,-1.809252736095779e-05,-0.013200000000000362,0.0,-0.004913725292894466,-0.002036965880388708,0.019999999999999185,0.0,0.04288320767479406,0.02423306533099519,-5.873079800267078e-14,0.0,-0.09744886621121315,-0.04991318443453402,2.930988785010413e-14,0.0
8.31,-0.009988298905740267,-0.0056816591610827725,0.0003079999999999718,-0.01,0.009822872507286888,0.005066891333174135,-0.0038000000000000013,0.01,-0.0010026834478264468,0.00022388606749135231,-0.013200000000000366,0.0,-0.005885789328195334,-0.0025356451038735517,0.020000000000000295,0.0,0.042935537953026987,0.024157866744584606,5.6288307348495437e-14,0.0,-0.09691597535671989,-0.04979974431728146,5.695444116327053e-14,0.0
8.32,-0.009996178732568781,-0.005678212287813198,0.0001759999999999823,-0.01,0.009759167619387471,0.005039044321877389,-0.0035999999999999912,0.01,-0.0005731125392001712,0.000465064807530724,-0.013199999999999237,0.0,-0.0068520448000288225,-0.003032960766734316,0.020000000000000323,0.0,0.042969410047475703,0.02407312841467608,-1.1102230246251565e-16,0.0,-0.09628744013534735,-0.04964047052116555,2.6645352591003757e-15,0.0
8.33,-0.00999976115652427,-0.005672357864932158,4.399999999999274e-05,-0.01,0.009685831611286314,0.00500623211783945,-0.0034000000000000033,0.01,-0.00014329524687695105,0.0007053486357848637,-0.013200000000000368,0.0,-0.00781153813090224,-0.0035284545142968415,0.02000000000000035,0.0,0.04298480939636343,0.023978920124204616,-5.651035195342047e-14,0.0,-0.0955638808355106,-0.04943537889457833,-1.3322676295501878e-15,0.0
8.34,-0.00999904463750632,-0.005664105315097501,-8.80000000000194e-05,-0.01,0.009602936856769429,0.0049684752315914535,-0.0031999999999999928,0.01,0.000286583648727079,0.0009446432100148061,-0.013200000000000368,0.0,-0.008763322416738994,-0.004021668344625862,0.020000000000000295,0.0,0.04298172937945524,0.02387531501315039,5.639932965095795e-14,0.0,-0.09474601152281081,-0.049184524209435976,-5.972999872483342e-14,0.0
8.35,-0.00999402948354973,-0.005653465000731862,-0.00022000000000000895,-0.01,0.009510565162951538,0.004925798750946935,-0.003000000000000006,0.01,0.0007163393407121355,0.0011828549360478613,-0.01319999999999924,0.0,-0.009706458361358417,-0.00451214499848554,0.019999999999999157,0.0,0.042960171320872514,0.023762389530535506,2.3314683517128287e-15,0.0,-0.09383463933559577,-0.048888000291835376,-3.197442310920451e-14,0.0
8.36,-0.009984717850692078,-0.0056404482163765444,-0.00035199999999999853,-0.01,0.009408807689542265,0.0048782323316217445,-0.002800000000000018,0.01,0.001145787075144511,0.001419891000625506,-0.01320000000000032,0.0,-0.01064001520345087,-0.004999428350462548,0.019999999999999657,0.0,0.042920144488503446,0.023640223385524933,-5.417888360170764e-14,0.0,-0.0928306636882058,-0.04854594012338406,8.193445921733655e-14,0.0
8.370000000000001,-0.009971113742046837,-0.005625067180719349,-0.00048400000000003323,-0.01,0.009297764858882505,0.0048258101839376765,-0.0025999999999999856,0.01,0.0015747422304822623,0.0016556594037583916,-0.013200000000000323,0.0,-0.011563071635122657,-0.005483063800953286,0.020000000000000795,0.0,0.042861666090046484,0.02350889949764408,5.440092820663267e-14,0.0,-0.09173507538325842,-0.04815851591308626,3.397282455352979e-14,0.0
