x1_original,x1_drifted,x1_amplitude_scaled,x1_lowfreq,x2_original,x2_drifted,x2_amplitude_scaled,x2_lowfreq,v1_original,v1_drifted,v1_amplitude_scaled,v1_lowfreq,v2_original,v2_drifted,v2_amplitude_scaled,v2_lowfreq,a1_original,a1_drifted,a1_amplitude_scaled,a1_lowfreq,a2_original,a2_drifted,a2_amplitude_scaled,a2_lowfreq
-0.0046698917,0.0026747384,-0.0069999527,0.0013009431,0.0039555226,0.011274358,0.0059549487,-0.00027001352,-0.008623356,-0.0013633166,-0.012934377,-0.030692982,0.0045578904,0.011895744,0.0068591195,0.018906789,0.13326284,0.14078268,0.20011215,-0.028687548,-0.08675894,-0.079412915,-0.12980555,0.015272976
-0.004762412,0.0025746813,-0.0071383296,0.0011243668,0.0040073963,0.011321268,0.0060353973,-0.00014914772,-0.007013659,0.0002447269,-0.010574351,-0.03084104,0.0035023186,0.010825183,0.005280462,0.018995004,0.13567363,0.14307907,0.20376547,-0.023775535,-0.08814574,-0.08090029,-0.13201386,0.012228068
-0.004818389,0.0025113858,-0.0072146878,0.000977847,0.0040304177,0.0113430815,0.0060797925,-4.7257476e-05,-0.0055501647,0.001702371,-0.008432731,-0.030916652,0.002542605,0.009864636,0.003864462,0.019033637,0.13702646,0.14429453,0.20584616,-0.019604927,-0.08893648,-0.0816895,-0.13319704,0.009632032
-0.004849159,0.0024773655,-0.0072604427,0.0007854097,0.004034644,0.011344605,0.0060859825,8.3309606e-05,-0.0037105668,0.003523715,-0.0056977,-0.030946022,0.0013472897,0.008653399,0.0020648392,0.01903727,0.1376772,0.14479953,0.2067218,-0.0142684635,-0.089254566,-0.08201211,-0.13370138,0.0063369595
-0.004887507,0.0024404097,-0.007320888,0.0006254737,0.004040429,0.011350311,0.006096351,0.00018816732,-0.0022795247,0.0049491525,-0.0035478296,-0.030998832,0.00041550543,0.007689207,0.00062827487,0.01903321,0.13838507,0.14557746,0.20781808,-0.010036802,-0.089744575,-0.082433715,-0.13434163,0.0037059146
-0.004909109,0.0024118205,-0.007358548,0.00045619527,0.0040420815,0.011347951,0.0060934555,0.00029749973,-0.0008294477,0.00639878,-0.0013985994,-0.031068046,-0.00054351543,0.0067253658,-0.00083344866,0.019016173,0.13871601,0.14599279,0.20848913,-0.0056101773,-0.08997221,-0.08259471,-0.13466913,0.00091933453
-0.004894224,0.0024239016,-0.00733834,0.00029456982,0.0040221126,0.011321365,0.006054798,0.000403544,0.0005691835,0.0077691083,0.0006249574,-0.031128025,-0.0014600437,0.0058195735,-0.0022128662,0.018992342,0.1381793,0.14538768,0.20785977,-0.0013482524,-0.089574255,-0.08213753,-0.13414079,-0.0017424884
-0.004862895,0.0024515707,-0.0072959457,0.00013102706,0.0039919405,0.011284845,0.005995742,0.0005097379,0.0020891724,0.009247595,0.0028490247,-0.031123852,-0.0024363159,0.0048525687,-0.003678193,0.018963737,0.13732603,0.14441183,0.20662524,0.0030420865,-0.08888757,-0.08144146,-0.1332025,-0.004444494
-0.0048463726,0.0024680928,-0.0072728833,1.1535885e-06,0.0039690277,0.011260619,0.005961364,0.0005962431,0.0032793086,0.010435855,0.0046538217,-0.03106298,-0.003216776,0.00405366,-0.0048519913,0.018933836,0.13680685,0.14398092,0.20591588,0.006511891,-0.08850142,-0.08109994,-0.13260175,-0.0065915613
-0.0048201773,0.002482907,-0.0072423005,-0.00016431187,0.0039406302,0.011227876,0.005920789,0.00070526695,0.0047328006,0.011913193,0.0069043827,-0.030954657,-0.00419591,0.0030730558,-0.00631429,0.018869186,0.13598469,0.14342901,0.20472145,0.010903193,-0.08797226,-0.08062216,-0.13180707,-0.009334233
-0.0047546057,0.0025358056,-0.0071518566,-0.0003295093,0.0038846156,0.011167266,0.005842453,0.0008136705,0.00619933,0.013397934,0.00918531,-0.03085948,-0.00518847,0.0020920886,-0.007793739,0.018781984,0.13409546,0.14174873,0.20196089,0.015284343,-0.08678572,-0.079412825,-0.1299959,-0.012101455
