dataset,window_index,overall_mse,per_channel_mse,worst_channel_idx,avg_corr_worst_channel,num_high_error_channels,predicted_fault,mu_latent
Normal,30,0.08471132814884186,"[0.03504716977477074, 0.0492682121694088, 0.05814768373966217, 0.010364114306867123, 0.12123800069093704, 0.10577184706926346, 0.13385798037052155, 0.03340446576476097, 0.11417641490697861, 0.1232624426484108, 0.12159585952758789, 0.11040177941322327]",6,0.2696067621129722,0,Ambiguous_Moderate_Error,"[-0.07338188588619232, -0.047565534710884094, -0.05090808868408203, -0.3450546860694885, 0.021140214055776596, 0.19744136929512024, 0.005783636122941971, -0.07649923861026764, 0.018287453800439835, 1.811952829360962, -0.045977044850587845, 1.3115448951721191, 0.06883583962917328, -1.5685642957687378, 0.00036283954977989197, 0.044796742498874664]"
Normal,31,0.07350250333547592,"[0.023345068097114563, 0.04315852001309395, 0.04642719402909279, 0.013147409074008465, 0.09357161819934845, 0.0948752611875534, 0.17701378464698792, 0.037010978907346725, 0.08263110369443893, 0.1064458116889, 0.08782123774290085, 0.0765821784734726]",6,0.2816399348435554,0,Ambiguous_Moderate_Error,"[-0.05866171419620514, -0.06094338744878769, -0.05467730760574341, -0.2996874153614044, 0.021627303212881088, 0.19286838173866272, 0.005544621497392654, -0.07880236208438873, 0.023334119468927383, 1.8546339273452759, -0.045642007142305374, 1.3984484672546387, 0.06416241824626923, -1.478399395942688, -0.001395542174577713, 0.03921664506196976]"
Normal,32,0.09599264711141586,"[0.060045480728149414, 0.05453502759337425, 0.04067505523562431, 0.01097846869379282, 0.07728899270296097, 0.06869140267372131, 0.2532447874546051, 0.09434697777032852, 0.1260388046503067, 0.12263564765453339, 0.14571630954742432, 0.09771477431058884]",6,0.29253444926110006,1,Ambiguous_Moderate_Error,"[-0.04563938081264496, -0.0730709433555603, -0.058157190680503845, -0.24816662073135376, 0.022757168859243393, 0.18411827087402344, 0.0066888220608234406, -0.08013693988323212, 0.027455609291791916, 1.8955343961715698, -0.04412933066487312, 1.4710087776184082, 0.05742289125919342, -1.3857980966567993, -0.002086017280817032, 0.033098675310611725]"
Normal,33,0.061791229993104935,"[0.016322366893291473, 0.047159839421510696, 0.03225397691130638, 0.027858752757310867, 0.055860165506601334, 0.04414986073970795, 0.20270642638206482, 0.04803357645869255, 0.042921386659145355, 0.08144467324018478, 0.06585849076509476, 0.07692527025938034]",6,0.30129575145591936,1,Ambiguous_Moderate_Error,"[-0.034661099314689636, -0.08286016434431076, -0.06044730544090271, -0.19153614342212677, 0.023717280477285385, 0.17175111174583435, 0.008630860596895218, -0.07890237867832184, 0.03021204099059105, 1.9359652996063232, -0.04205285385251045, 1.5304876565933228, 0.050262466073036194, -1.289385437965393, -0.001620326191186905, 0.02884621173143387]"
Normal,34,0.08985590934753418,"[0.05231339484453201, 0.054979559034109116, 0.029359303414821625, 0.014921900816261768, 0.0797470435500145, 0.05762035399675369, 0.24339444935321808, 0.06852466613054276, 0.112977534532547, 0.13376672565937042, 0.1428721845149994, 0.08779371529817581]",6,0.3069062566723774,1,Ambiguous_Moderate_Error,"[-0.025809749960899353, -0.08942275494337082, -0.0607575923204422, -0.12956367433071136, 0.02394172176718712, 0.15606504678726196, 0.010959822684526443, -0.07353396713733673, 0.0312662310898304, 1.9773914813995361, -0.04016048088669777, 1.5777649879455566, 0.04393284022808075, -1.1870622634887695, 0.00012604519724845886, 0.028243429958820343]"
Normal,35,0.24808868765830994,"[0.23753602802753448, 0.12523972988128662, 0.06909499317407608, 0.03251674398779869, 0.48301175236701965, 0.2595764398574829, 0.29039838910102844, 0.07209107279777527, 0.592173159122467, 0.572614312171936, 0.14161285758018494, 0.10119850933551788]",8,0.46519162123766217,6,Structural Fault,"[-0.019033536314964294, -0.09188127517700195, -0.05857013911008835, -0.060636360198259354, 0.023132499307394028, 0.13706475496292114, 0.013545680791139603, -0.06259709596633911, 0.030380096286535263, 2.0211057662963867, -0.0391840822994709, 1.6132298707962036, 0.0391165167093277, -1.0760339498519897, 0.0034268610179424286, 0.03230961412191391]"
Normal,36,0.10307328402996063,"[0.037950851023197174, 0.0818391740322113, 0.026316918432712555, 0.03667500615119934, 0.07462023943662643, 0.10918010026216507, 0.2898155450820923, 0.10368312895298004, 0.06298098713159561, 0.15723258256912231, 0.15673235058784485, 0.09985250234603882]",6,0.30537445661970297,1,Ambiguous_Moderate_Error,"[-0.014483079314231873, -0.08918306231498718, -0.053901366889476776, 0.017647478729486465, 0.021062549203634262, 0.11442697793245316, 0.01641567423939705, -0.04503917321562767, 0.027349431067705154, 2.068035125732422, -0.0397389717400074, 1.6359622478485107, 0.03581605851650238, -0.9536130428314209, 0.008602160960435867, 0.04111487418413162]"
Normal,37,0.08269268274307251,"[0.058612000197172165, 0.06140339374542236, 0.022651338949799538, 0.028672602027654648, 0.06189529970288277, 0.06591323018074036, 0.18861298263072968, 0.07325804978609085, 0.09156660735607147, 0.14172804355621338, 0.13135166466236115, 0.06664685159921646]",6,0.2973169238332925,0,Ambiguous_Moderate_Error,"[-0.012775883078575134, -0.08031110465526581, -0.04752837121486664, 0.10710548609495163, 0.017683979123830795, 0.08751008659601212, 0.01959260180592537, -0.02090565860271454, 0.021974291652441025, 2.118617534637451, -0.04212840273976326, 1.6428518295288086, 0.033412590622901917, -0.8185724020004272, 0.015656445175409317, 0.05356428772211075]"
Normal,38,0.05598023161292076,"[0.018492620438337326, 0.057643622159957886, 0.013807329349219799, 0.02706039696931839, 0.06509499251842499, 0.032014645636081696, 0.16562454402446747, 0.04334550350904465, 0.014398601837456226, 0.11669299006462097, 0.07482219487428665, 0.0427652969956398]",6,0.28437644895690267,0,Ambiguous_Moderate_Error,"[-0.014850273728370667, -0.06516017019748688, -0.040717244148254395, 0.20732930302619934, 0.013857658952474594, 0.055584169924259186, 0.023149240761995316, 0.007504831999540329, 0.014091920107603073, 2.172799587249756, -0.04599045589566231, 1.6292375326156616, 0.031180933117866516, -0.6719550490379333, 0.023756157606840134, 0.06756783276796341]"
Normal,39,0.2278517633676529,"[0.22757726907730103, 0.12496624141931534, 0.04089217633008957, 0.04280543327331543, 0.4486485719680786, 0.24892854690551758, 0.24262556433677673, 0.08030595630407333, 0.5062603950500488, 0.5376719832420349, 0.15157544612884521, 0.08196330070495605]",9,0.4211496809729218,6,Structural Fault,"[-0.02135448157787323, -0.045572035014629364, -0.03432728350162506, 0.314992219209671, 0.011825736612081528, 0.01862979680299759, 0.027283746749162674, 0.03515198454260826, 0.0037636645138263702, 2.229970932006836, -0.04998474195599556, 1.5912623405456543, 0.029224351048469543, -0.5167726278305054, 0.031157877296209335, 0.08071654289960861]"
